大問,小問,タイトル,写真,問題,1,2,正解,説明
1,1,<r=かざん>火山</r>が<r=つく>作</r>った<r=かもめじま>鴎島</r>,1.1,この鴎島の絵図が描かれたのは何時代？,江戸時代,明治時代,1,この絵図は江戸時代の終わりに描かれた。江戸時代には鴎島の上に樹木がほとんど生えていない様子もわかる。
1,2,<r=かざん>火山</r>が<r=つく>作</r>った<r=かもめじま>鴎島</r>,1.2,鴎島の地層は何が積み重なってできた？,砂,火山灰,2,"鴎島は、約1,500万年前に起きた海底火山の噴火で、海底に積み重なった火山灰などが固まった岩石でできている。"
1,3,<r=かざん>火山</r>が<r=つく>作</r>った<r=かもめじま>鴎島</r>,1.3,鴎島のこの場所に停泊していたのは何という船？,北前船,開陽丸,1,鴎島は日本海からの風や波をさえぎってくれたので、本州からやってきた北前船が安全に停泊することができた。
1,4,<r=かざん>火山</r>が<r=つく>作</r>った<r=かもめじま>鴎島</r>,1.4,1_3,1,2,1,テスト
2,1,<r=かもめじま>鴎島</r>の<r=でんせつ>伝説</r>,2.1,伝説で、神様から瓶を授かったおばあさんの名前は？,折居,瓶子,1,テスト
2,2,<r=かもめじま>鴎島</r>の<r=でんせつ>伝説</r>,2.2,伝説で、折居というおばあさんが呼び寄せた魚は？,ホッケ,ニシン,2,テスト
2,3,<r=かもめじま>鴎島</r>の<r=でんせつ>伝説</r>,2.3,伝説で、折居というおばあさんが神様から授かった瓶はなんという岩になった？,瓶子岩,馬岩,1,テスト
2,4,<r=かもめじま>鴎島</r>の<r=でんせつ>伝説</r>,2.4,伝説で、馬岩は誰に置き去りにされた馬が岩になった？,源頼朝,源義経,2,テスト
3,1,<r=かんのり>寒海苔</r>という<r=めいさんひん>名産品</r>,3.1,寒海苔はどこで採る？,鴎島の岩肌,海の中,1,テスト
3,2,<r=かんのり>寒海苔</r>という<r=めいさんひん>名産品</r>,3.2,寒海苔を採る季節は,夏,冬,2,テスト
3,3,<r=かんのり>寒海苔</r>という<r=めいさんひん>名産品</r>,3.3,鴎島の海苔は何時代から食べられている？,江戸時代,明治時代,1,テスト
3,4,<r=かんのり>寒海苔</r>という<r=めいさんひん>名産品</r>,3.4,江戸時代に江差の名産品として海苔を挙げていたのは？,榎本武揚,松浦武四郎,2,テスト
4,1,<r=えんとうどき>円筒土器</r>を<r=つか>使</r>う<r=ぶんか>文化</r>,4.1,円筒土器は何時代の土器？,縄文時代,弥生時代,1,テスト
4,2,<r=えんとうどき>円筒土器</r>を<r=つか>使</r>う<r=ぶんか>文化</r>,4.2,この円筒土器はどこで見つかった？,鴎島の島上,江差消防署の付近,2,テスト
4,3,<r=えんとうどき>円筒土器</r>を<r=つか>使</r>う<r=ぶんか>文化</r>,4.3,この縄文時代の遺跡はどこにあった？,檜山振興局,江差町役場,1,テスト
4,4,<r=えんとうどき>円筒土器</r>を<r=つか>使</r>う<r=ぶんか>文化</r>,4.4,この円筒土器は何年前のもの？,"約2,000年前","約5,000年前",2,テスト
5,1,「<r=ひゃくいんひゃくし>百印百詩</r>」という<r=ぶんげい>文芸</r>イベント,5.1,「百印百詩」が行われたのは何時代？,江戸時代,明治時代,1,テスト
